epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
35,3427.24,0.84811,0.47575,0.92285,0.94893,0.93036,0.96915,0.7637,0.75234,0.39103,0.88995,0.008317,0.008317,0.008317
36,3519.03,0.84752,0.47549,0.9258,0.95175,0.93203,0.97171,0.76361,0.74888,0.38841,0.8837,0.0082675,0.0082675,0.0082675
37,3623.95,0.84313,0.46758,0.91748,0.95504,0.93091,0.96979,0.76177,0.74228,0.3859,0.883,0.008218,0.008218,0.008218
38,3716.37,0.8495,0.46999,0.92139,0.94227,0.93371,0.97061,0.76801,0.73756,0.38479,0.88184,0.0081685,0.0081685,0.0081685
39,3820.19,0.84602,0.46644,0.92276,0.94913,0.93425,0.97158,0.77174,0.73386,0.38264,0.8788,0.008119,0.008119,0.008119
40,3909.89,0.83985,0.46945,0.91717,0.95479,0.93345,0.9713,0.76785,0.73753,0.37797,0.88359,0.0080695,0.0080695,0.0080695
41,4011.37,0.83152,0.46271,0.91603,0.95374,0.9343,0.97361,0.76806,0.72939,0.37944,0.88304,0.00802,0.00802,0.00802
42,4100.99,0.83665,0.46552,0.91943,0.95576,0.93063,0.97405,0.77393,0.72718,0.3769,0.87876,0.0079705,0.0079705,0.0079705
43,4203.16,0.84045,0.46608,0.92524,0.95203,0.93594,0.97309,0.77344,0.71733,0.37572,0.87729,0.007921,0.007921,0.007921
44,4294.88,0.83362,0.45942,0.91543,0.95655,0.92378,0.97256,0.77158,0.7279,0.37046,0.87876,0.0078715,0.0078715,0.0078715
45,4387.82,0.83197,0.45969,0.91354,0.95823,0.93049,0.97283,0.77375,0.72015,0.36972,0.875,0.007822,0.007822,0.007822
46,4488.65,0.83611,0.45785,0.91741,0.95782,0.93706,0.97331,0.77582,0.72111,0.36388,0.87906,0.0077725,0.0077725,0.0077725
47,4580.95,0.83599,0.45813,0.9163,0.95041,0.9379,0.9742,0.77727,0.71952,0.36492,0.87349,0.007723,0.007723,0.007723
48,4680.21,0.83225,0.45545,0.92055,0.94755,0.93846,0.97281,0.77262,0.72294,0.36964,0.87492,0.0076735,0.0076735,0.0076735
49,4769.65,0.83229,0.45806,0.91546,0.96023,0.92895,0.97429,0.78039,0.71157,0.36628,0.87493,0.007624,0.007624,0.007624
50,4870.5,0.83094,0.4588,0.91197,0.96161,0.93194,0.9756,0.78213,0.70541,0.36077,0.87165,0.0075745,0.0075745,0.0075745
51,4962.48,0.82457,0.44935,0.91323,0.95481,0.9365,0.97498,0.77888,0.71013,0.35723,0.87282,0.007525,0.007525,0.007525
52,5066.45,0.82499,0.45105,0.91489,0.95725,0.93317,0.97474,0.78228,0.70828,0.35761,0.87072,0.0074755,0.0074755,0.0074755
53,5152.24,0.81764,0.44983,0.9116,0.95611,0.93594,0.97504,0.78183,0.71026,0.35948,0.86954,0.007426,0.007426,0.007426
54,5254.48,0.81676,0.44565,0.91123,0.9523,0.93827,0.97541,0.78407,0.70245,0.354,0.86872,0.0073765,0.0073765,0.0073765
55,5352.52,0.81967,0.44697,0.91303,0.9578,0.93594,0.97615,0.78404,0.70327,0.35403,0.86893,0.007327,0.007327,0.007327
56,5451.41,0.81153,0.44307,0.91087,0.9516,0.94042,0.97577,0.78516,0.70176,0.35195,0.86846,0.0072775,0.0072775,0.0072775
57,5555.87,0.80958,0.44335,0.90733,0.95142,0.93674,0.9762,0.78345,0.70015,0.35007,0.86825,0.007228,0.007228,0.007228
58,5648.55,0.81762,0.44149,0.91525,0.95684,0.93646,0.97712,0.78323,0.70037,0.35036,0.8684,0.0071785,0.0071785,0.0071785
59,5751.11,0.81479,0.44139,0.91188,0.96091,0.93483,0.97807,0.78449,0.70045,0.34879,0.86852,0.007129,0.007129,0.007129
60,5844.28,0.80716,0.43804,0.91161,0.95643,0.93942,0.97762,0.78585,0.70237,0.34667,0.86872,0.0070795,0.0070795,0.0070795
61,5946.59,0.80982,0.44132,0.90709,0.95123,0.93847,0.97721,0.78625,0.69754,0.34627,0.8676,0.00703,0.00703,0.00703
62,6040.89,0.80956,0.43753,0.90881,0.95792,0.93613,0.97764,0.78879,0.69508,0.34378,0.86581,0.0069805,0.0069805,0.0069805
63,6144.92,0.81246,0.44192,0.90808,0.9577,0.93427,0.97727,0.78906,0.69357,0.34534,0.86538,0.006931,0.006931,0.006931
64,6236.84,0.80464,0.43903,0.90684,0.95865,0.93395,0.97808,0.78814,0.69344,0.34558,0.86526,0.0068815,0.0068815,0.0068815
65,6339.53,0.80443,0.43216,0.90368,0.95827,0.9365,0.97657,0.78753,0.69462,0.34537,0.86493,0.006832,0.006832,0.006832
66,6431.68,0.80468,0.43543,0.90879,0.95322,0.93482,0.97541,0.78668,0.6912,0.34566,0.86529,0.0067825,0.0067825,0.0067825
67,6534.05,0.80156,0.4305,0.90488,0.95503,0.93858,0.97626,0.78823,0.69378,0.34407,0.86575,0.006733,0.006733,0.006733
68,6628.62,0.80043,0.43083,0.90744,0.95635,0.93846,0.97602,0.78796,0.69362,0.34194,0.86612,0.0066835,0.0066835,0.0066835
69,6736.63,0.79141,0.42884,0.90252,0.95681,0.93566,0.97694,0.78813,0.69365,0.34163,0.86564,0.006634,0.006634,0.006634
70,6828.47,0.80152,0.42676,0.90846,0.95499,0.93846,0.97656,0.78978,0.69167,0.34075,0.86513,0.0065845,0.0065845,0.0065845
71,6933.71,0.7903,0.42376,0.90033,0.9587,0.935,0.97688,0.7896,0.69122,0.34012,0.86519,0.006535,0.006535,0.006535
72,7023.98,0.79221,0.42767,0.9038,0.95565,0.9365,0.97677,0.79071,0.68841,0.33975,0.86514,0.0064855,0.0064855,0.0064855
73,7124.66,0.8,0.43145,0.90676,0.95354,0.93585,0.97637,0.7902,0.68747,0.34002,0.86525,0.006436,0.006436,0.006436
74,7219.82,0.79787,0.42631,0.90759,0.95455,0.93594,0.97745,0.79035,0.68681,0.34002,0.86523,0.0063865,0.0063865,0.0063865
75,7314.59,0.78467,0.4167,0.90194,0.95562,0.93706,0.97849,0.79035,0.6874,0.33861,0.86575,0.006337,0.006337,0.006337
76,7416.7,0.79136,0.42582,0.9047,0.95474,0.93734,0.97719,0.79147,0.68679,0.33815,0.86578,0.0062875,0.0062875,0.0062875
77,7506.12,0.79293,0.42253,0.90368,0.95229,0.93818,0.97704,0.79164,0.68692,0.33733,0.86564,0.006238,0.006238,0.006238
78,7609.57,0.78656,0.42139,0.90116,0.95504,0.93871,0.97728,0.79241,0.68595,0.33619,0.86578,0.0061885,0.0061885,0.0061885
79,7700.92,0.7831,0.41943,0.90233,0.95636,0.93798,0.97751,0.79162,0.68568,0.33586,0.86561,0.006139,0.006139,0.006139
80,7803.65,0.78712,0.41913,0.90182,0.95645,0.93983,0.97682,0.79173,0.6865,0.33511,0.86556,0.0060895,0.0060895,0.0060895
81,7896.32,0.78148,0.41893,0.90236,0.95348,0.94098,0.97696,0.79229,0.68495,0.33489,0.86546,0.00604,0.00604,0.00604
82,7999.32,0.78661,0.41973,0.90232,0.95451,0.93902,0.97703,0.79301,0.68437,0.33412,0.86511,0.0059905,0.0059905,0.0059905
83,8087.95,0.77909,0.41589,0.90295,0.95478,0.93899,0.97743,0.79311,0.68304,0.33336,0.86495,0.005941,0.005941,0.005941
84,8190.45,0.7797,0.42023,0.90251,0.95521,0.9393,0.9782,0.79356,0.68153,0.33353,0.86464,0.0058915,0.0058915,0.0058915
85,8278.8,0.77797,0.415,0.89975,0.95534,0.93846,0.97774,0.79418,0.68191,0.33338,0.86461,0.005842,0.005842,0.005842
86,8380.71,0.7799,0.41638,0.90105,0.95641,0.93898,0.97779,0.79407,0.68155,0.33272,0.86457,0.0057925,0.0057925,0.0057925
87,8478.41,0.77622,0.41182,0.89972,0.95589,0.93818,0.97781,0.79408,0.68173,0.33174,0.86493,0.005743,0.005743,0.005743
88,8569.88,0.77815,0.4124,0.90224,0.95688,0.93719,0.97814,0.79374,0.68221,0.33167,0.86517,0.0056935,0.0056935,0.0056935
89,8671.78,0.77429,0.4094,0.9011,0.9583,0.93594,0.97854,0.79417,0.68196,0.33081,0.86508,0.005644,0.005644,0.005644
90,8764.83,0.76438,0.3995,0.8975,0.95827,0.93773,0.97817,0.79416,0.68114,0.33008,0.865,0.0055945,0.0055945,0.0055945
91,8867.98,0.77007,0.41062,0.90132,0.9582,0.9379,0.9787,0.79476,0.68082,0.32955,0.86471,0.005545,0.005545,0.005545
92,8960.88,0.76846,0.40124,0.89667,0.9585,0.93682,0.97824,0.79413,0.68018,0.32885,0.8648,0.0054955,0.0054955,0.0054955
93,9063.01,0.76554,0.40342,0.89673,0.95906,0.93708,0.97838,0.7942,0.68015,0.32842,0.86489,0.005446,0.005446,0.005446
94,9152.65,0.76639,0.40531,0.89493,0.9585,0.93902,0.97876,0.79445,0.67975,0.32812,0.86477,0.0053965,0.0053965,0.0053965
95,9254.88,0.76657,0.40578,0.89415,0.96061,0.93566,0.97897,0.79495,0.67937,0.32827,0.86453,0.005347,0.005347,0.005347
96,9344.66,0.76797,0.40501,0.89512,0.96025,0.9351,0.97935,0.79526,0.67914,0.32751,0.86457,0.0052975,0.0052975,0.0052975
97,9449.38,0.76001,0.39776,0.89785,0.96094,0.93588,0.97952,0.79567,0.67918,0.32762,0.86464,0.005248,0.005248,0.005248
98,9535.46,0.76584,0.40377,0.89639,0.96009,0.93528,0.97948,0.79539,0.67917,0.32733,0.86474,0.0051985,0.0051985,0.0051985
99,9635.73,0.76519,0.40151,0.89395,0.9609,0.93497,0.97952,0.79524,0.67896,0.32718,0.8646,0.005149,0.005149,0.005149
100,9735.85,0.76029,0.39614,0.896,0.96219,0.93371,0.97944,0.79557,0.67895,0.32686,0.86463,0.0050995,0.0050995,0.0050995
101,9782.37,0.75696,0.39801,0.89693,0.9625,0.93371,0.97936,0.79568,0.67877,0.32643,0.86458,0.00505,0.00505,0.00505
102,9827.99,0.75388,0.39526,0.89294,0.96306,0.93399,0.97892,0.79565,0.67867,0.32577,0.8646,0.0050005,0.0050005,0.0050005
103,9872.7,0.74808,0.39608,0.89295,0.96199,0.93438,0.97891,0.79554,0.67822,0.32553,0.86454,0.004951,0.004951,0.004951
104,9917.14,0.75791,0.39579,0.89201,0.96205,0.93427,0.97873,0.79556,0.67856,0.32506,0.86452,0.0049015,0.0049015,0.0049015
105,9961.68,0.75117,0.39269,0.88871,0.96006,0.9365,0.97953,0.79604,0.67861,0.32508,0.86452,0.004852,0.004852,0.004852
106,10006.4,0.75523,0.39407,0.89089,0.96059,0.9365,0.97896,0.79583,0.67827,0.32512,0.86447,0.0048025,0.0048025,0.0048025
107,10051.5,0.75455,0.39177,0.89249,0.96046,0.93759,0.97888,0.79571,0.67835,0.32477,0.86447,0.004753,0.004753,0.004753
108,10095.9,0.75037,0.39136,0.89103,0.96011,0.9379,0.9789,0.79597,0.67809,0.32475,0.86449,0.0047035,0.0047035,0.0047035
109,10141.3,0.74349,0.38933,0.88817,0.96018,0.93622,0.97922,0.796,0.67853,0.32445,0.86452,0.004654,0.004654,0.004654
110,10186.7,0.75023,0.39336,0.88984,0.96016,0.93694,0.97925,0.79667,0.67833,0.32419,0.86459,0.0046045,0.0046045,0.0046045
111,10232.2,0.74522,0.38631,0.89104,0.96046,0.93678,0.97872,0.7965,0.67854,0.3237,0.86465,0.004555,0.004555,0.004555
112,10278.2,0.74749,0.38467,0.89357,0.96062,0.93678,0.97873,0.79615,0.67822,0.32386,0.86467,0.0045055,0.0045055,0.0045055
113,10323.1,0.75019,0.38622,0.8938,0.96071,0.93701,0.97879,0.79612,0.6782,0.32337,0.86473,0.004456,0.004456,0.004456
114,10367.7,0.74341,0.38412,0.8894,0.96044,0.93724,0.97927,0.79641,0.67761,0.32331,0.86431,0.0044065,0.0044065,0.0044065
115,10412.3,0.74279,0.38414,0.89058,0.96015,0.9379,0.97927,0.79649,0.67768,0.32339,0.86431,0.004357,0.004357,0.004357
116,10456.8,0.7475,0.38965,0.89255,0.95991,0.9377,0.9792,0.79601,0.67752,0.32331,0.86439,0.0043075,0.0043075,0.0043075
117,10501.6,0.74276,0.38521,0.89287,0.96017,0.93721,0.97932,0.7962,0.67747,0.32338,0.86438,0.004258,0.004258,0.004258
