Epoch,Train Loss,Validation Loss
1,4.256071041143789,2.943588905387308
2,2.9219194959000436,2.904396032692653
3,2.8765489520760052,2.850139551215555
4,2.8273868899530865,2.804145321621459
5,2.789727901364641,2.769888636147877
6,2.759405915836309,2.74228423850358
7,2.7323362934968753,2.722294819321989
8,2.713022549912311,2.701889683995551
9,2.6953568372647756,2.674727341474919
10,2.6571938411778806,2.6270870554810415
11,2.5994470074353826,2.561896030922676
12,2.532506854952857,2.4892474508681786
13,2.4461471384513818,2.381282805736045
14,2.327662788454702,2.243523783300722
15,2.1695611837637268,2.0631324155178756
16,1.9157524505796046,1.712050444531639
17,1.5688042547590786,1.4059987101198232
18,1.2810488896370738,1.0937505640151428
19,0.9732201392872604,0.8647856444863401
20,0.8042403376489843,0.7246378779081096
21,0.6934873842815695,0.6416624157052291
22,0.6127956603438108,0.5711335858479761
23,0.5488175040223539,0.5120215316888699
24,0.497180071443515,0.4680939293634198
25,0.4497854624759631,0.4234352329761368
26,0.4106886643344936,0.3877279696537187
27,0.3788366105815822,0.36034413103086466
28,0.35034563269432917,0.33133236473617134
29,0.3252187931330884,0.30813349085831576
30,0.30409850419460877,0.2914045595891588
31,0.2856540076423322,0.280354016870673
32,0.26735817263535444,0.2601237249176258
33,0.2525384320325975,0.2506820857524872
34,0.23976897595054794,0.23627106882528584
35,0.2293292563686489,0.22488024913373086
36,0.21693900186072337,0.2170589087412298
37,0.20731616047802026,0.20981699087943398
38,0.19892869772012234,0.19868282982021818
39,0.19052203424020253,0.19470826133961822
40,0.18230773396294492,0.1889748668241369
41,0.17597743923273887,0.17989668834159908
42,0.16958184022557396,0.17993048601203349
43,0.16188124883734914,0.17425096627335138
44,0.1565537008326259,0.17016038050942145
45,0.151898022649625,0.16407949465050922
46,0.14680883055896266,0.15939876924261162
47,0.14160589556999933,0.15174963160668217
48,0.1373151635570164,0.1540690373185599
49,0.13245842815484235,0.15060546119127247
50,0.1298059063201943,0.14593289926689418
51,0.12432451135613617,0.14940002721597614
52,0.1226220898391683,0.13996009294387377
53,0.11739305375797175,0.13791464192797934
54,0.1143264362517331,0.1347099033047618
55,0.11120305457993737,0.1278623992221177
56,0.10776642231422154,0.13058930346510086
57,0.10566710013175507,0.13158081921844272
58,0.10345846086923653,0.12498569462726981
59,0.10033804041144222,0.12333841683791945
60,0.09846380192245131,0.12519661535269005
61,0.0961489593617381,0.11858139830509877
62,0.09323835360153815,0.1163319388089748
63,0.09078006746542536,0.12083029529786671
64,0.09007814500802674,0.11279656627367655
65,0.08603980047601625,0.11265655581702651
66,0.08424457091136218,0.11566151530995264
67,0.08200614765489678,0.11212236300069539
68,0.08098108331276263,0.10812775192168281
69,0.07873629673369546,0.11295109458907489
70,0.07790064702814407,0.10878594201109747
71,0.07497023056717729,0.1052469465703577
72,0.07385413078802927,0.106612899538047
73,0.07213371361923059,0.11258767734841545
74,0.0702545567057333,0.10269533773662311
75,0.0682268736723106,0.10904550370747362
76,0.06851962644617492,0.10486094566923759
77,0.06550225352466678,0.10256313464483066
78,0.06572769895838274,0.10261287736265283
79,0.06303339035177014,0.09978659539754371
80,0.06244451212768082,0.10367845879078241
81,0.06257274070383624,0.10035122675083351
82,0.06027737738212405,0.09808643442937212
83,0.0584332299474103,0.10102349932891139
84,0.05921588521472712,0.09674639764584993
85,0.056935076096514936,0.09749746283418254
86,0.055711833643660356,0.09543168429192414
87,0.05556428499035581,0.10311865713705316
88,0.05384444055040992,0.0972863753994416
89,0.05363052572028206,0.09622743699978263
90,0.051247569205752824,0.09564264698619658
91,0.05099551715615382,0.09618992791859397
92,0.04964070988774781,0.09503057842604672
93,0.04913832969326255,0.09402442255013538
94,0.049144915746103725,0.0940605696507438
95,0.04786587028925237,0.09746706015185307
96,0.046370023497780036,0.09515283428070617
97,0.045878369541208996,0.0984893348325983
98,0.044919686577931904,0.0932880997492666
99,0.04451689245425495,0.09690789698811449
100,0.04296507352361235,0.09045121512811766
101,0.04228727238086222,0.09764629024547883
102,0.04101497782668716,0.09230598600947626
103,0.04112377758623223,0.09372490908630667
